Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Purples,2.0,24.7930381391498,3007.0476944242,Financial,8.26434604638327,No,363.857911750945,Yes,Male,By_16:00,0.237566171446815,0.213673169724643,2.05402718856931,6.1824837839230895,9.625238918233661,2.5447889463976003,4170.0,14.879513578489401,381.21142093936896,4401.00195938819,46151.21541203139,No,132392.57994375902,19.5246362562627,201.109979708329,87.80463922303171,86.563761620754,60.0,30-45,2.0,585.3177490882621,10.0,Foot_or_bicycle,Hightech,411.68335813547094,0.0,Yes
Oranges,6.0,,149282.155272179,Military,295.211184495392,No,505.679198866903,No,Male,By_16:00,0.20212257560342603,0.0812057533767074,7.0046388613991395,3.35632051341236,0.3766654757782821,,6243.0,91.5906258160248,333.106183906164,5723.00435648135,44807.5018313821,Maybe,255711.452166673,18.2511967801063,187.03560582964002,77.82706385478379,87454.8546356675,30.0,30-45,2.0,558.2430666664051,8.0,Car,Industry_or_other,415.759162528335,0.0,No
Oranges,4.0,588.169983391384,74134.1446820219,Military,196.056661130461,No,378.12612055395,Yes,Male,By_16:00,0.191837194608524,0.285920067690313,0.8160669938661159,3.34798583062366,5.69641631096601,5.0373949832283,9450.0,27.8575613861904,380.716770391149,4542.6947463218,48478.0679717643,Maybe,,19.511964800889498,170.581166997174,67.7005952922627,38644.2710347551,30.0,45_and_up,2.0,632.470363908629,6.0,Public_or_other,Public_Sector,504.025317002399,0.0,Yes
Browns,9.0,279.536360301807,45320.3669137179,Social,93.1787867672689,No,486.380736281895,Yes,Male,After_16:00,0.46596957789734006,0.6550018440466371,3.13763043144718,6.0285351634956905,9.45099522359669,4.02428285684437,8096.0,53.30046555027371,455.29428399247706,5774.3959308039,55041.9379154184,No,236566.220626118,21.3376260158547,68.4428343695634,81.6688431659713,8785.465090187428,70.0,30-45,,,7.0,Motorcycle_or_truck,Industry_or_other,449.996638227306,1.0,Yes
Blues,6.0,1116.4309028073899,76634.5815748334,Healthcare,372.143634269132,Yes,205.927428331105,Yes,Male,After_16:00,0.6822516617830839,0.315312063321471,8.44114721752703,2.45994330849499,6.23681963421404,2.38437464460731,5993.0,85.8584310859442,427.460673008359,2914.19562932776,44358.0932166702,Yes,42406.1057390622,20.6751220796483,368.80180656014505,85.37067819852379,138873.028161306,80.0,30-45,0.0,550.100241896561,14.0,,Industry_or_other,289.585786711855,1.0,Yes
Browns,3.0,,11820.335393733201,Healthcare,42.215350525573896,No,280.000882299258,Yes,Male,By_16:00,0.0625247051939368,0.0649946529883891,2.7492640796117502,1.5083921095356299,2.24272879306227,0.704440518748015,4634.0,10.9568686690181,366.09198115531797,3532.1927853032203,42575.3724400775,No,78400.49408836309,19.133530284694398,288.145996553402,9.35110941063613,1834.3511705226501,80.0,30-45,2.0,542.8741527602481,7.0,Public_or_other,Public_Sector,370.782562981071,1.0,No
Browns,6.0,443.479549307415,45501.554369640304,Environment,147.826516435805,No,307.803738237989,Yes,Female,After_16:00,0.558954328997061,0.8913232227787379,7.308996706269681,1.47104017669335,8.74167396686971,0.9899465483613309,4121.0,41.5790876140818,390.33073799009696,3858.6988583600896,45090.2857893679,No,94743.1412732806,19.756789668114,254.01738240691003,10.844899318181,22010.5054779811,90.0,30-45,2.0,569.712020626067,9.0,Car,Student_or_Unemployed,375.267965222361,2.0,Yes
Blues,8.0,1127.75431489993,112138.20509014699,Healthcare,375.91810496664397,Yes,298.304879729316,Yes,Male,After_16:00,0.735257377848029,0.6577783592510971,5.1321272412315,0.807547762524337,2.19584352336824,1.37105557369068,8233.0,46.0540985455737,692.481906881708,4368.012611056571,66330.9789310473,Yes,88985.80127032161,26.315050957231804,371.261719104382,45.0609238119796,141700.339746679,80.0,30-45,3.0,780.4825394949969,12.0,Foot_or_bicycle,Public_Sector,254.836670657056,0.0,Yes
Greens,2.0,339.88157328925803,33972.0304844512,Social,113.293857763086,No,299.85765473262995,Yes,Female,After_16:00,0.6041130598168821,,1.89074571942911,3.7651359708979704,2.86966017680243,9.52904088888317,4321.0,23.2943925773725,501.271117207018,4001.11878174034,59845.2594189586,No,89914.6131017531,22.389084778235503,242.42098952254398,87.9671169444919,12958.7920646055,70.0,30-45,3.0,799.520856001806,13.0,Public_or_other,Services_or_Retail,636.7821700844539,1.0,Yes
Browns,9.0,103.865133723358,10411.1119503088,Financial,34.6217112411195,No,300.71049572915797,Yes,Female,By_16:00,0.543212067568675,0.799252422060817,2.08257321501151,2.8348531969822903,4.67114678118378,8.32044482463971,9629.0,74.8962403275073,369.74434207820997,3746.5936414479997,44013.6657752588,No,90426.8022416762,19.2287374020815,256.22213068371,55.593366757966606,1243.28460050458,60.0,30-45,2.0,,5.0,Motorcycle_or_truck,Services_or_Retail,405.306086156796,0.0,Yes
